YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,0,0,120000,0,44,1,1,2
2019,13,0,0,120000,1,42,1,1,1
2019,13,51,0,90100,1,54,1,1,2
2019,13,51,0,90100,0,49,1,1,2
2019,13,21,1,66000,0,43,1,4,2
2019,13,21,1,66000,1,56,1,2,1
2019,13,67,1,233500,0,55,3,1,2
2019,13,67,1,233500,0,23,0,1,2
2019,13,139,1,105000,1,61,1,2,1
2019,13,139,1,105000,0,57,1,2,3
2019,13,139,1,105000,0,35,2,2,2
2019,13,245,1,69500,0,63,1,2,1
2019,13,245,1,69500,1,65,1,2,1
2019,13,245,1,69500,1,34,0,2,1
2019,13,0,1,41200,1,64,1,1,1
2019,13,0,1,41200,0,61,1,1,1
2019,13,0,1,41200,1,32,0,1,1
2019,13,0,0,48700,0,65,3,2,1
2019,13,0,0,48700,0,54,0,2,1
2019,13,0,0,29540,0,62,3,2,2
2019,13,0,0,29540,0,37,2,2,2
2019,13,151,1,143900,1,55,1,1,1
2019,13,151,1,143900,0,46,1,1,1
2019,13,151,1,143900,0,23,0,1,2
2019,13,223,0,28180,1,73,4,1,2
2019,13,0,1,108900,0,58,1,1,2
2019,13,139,0,10000,0,46,0,1,1
2019,13,67,0,43000,0,48,3,1,1
2019,13,0,1,50600,1,71,1,1,2
2019,13,0,1,50600,0,66,1,1,1
2019,13,0,1,449600,1,65,1,1,1
2019,13,0,1,449600,0,49,1,1,1
2019,13,0,1,449600,0,28,3,1,1
2019,13,0,1,449600,0,69,4,1,1
2019,13,135,0,40000,0,68,2,2,2
2019,13,0,1,79000,0,65,3,2,2
2019,13,0,1,79000,1,27,0,2,3
2019,13,0,1,56000,1,53,0,2,2
2019,13,51,1,155700,1,62,1,1,3
2019,13,51,1,155700,0,60,1,1,3
2019,13,0,0,171000,0,29,0,1,3
2019,13,0,0,171000,1,31,0,1,3
2019,13,0,0,12300,1,66,1,1,1
2019,13,0,0,12300,0,65,1,1,1
2019,13,151,1,50000,0,39,3,1,1
2019,13,0,1,62000,0,59,1,2,1
2019,13,0,1,62000,1,50,1,2,2
2019,13,0,1,62000,0,57,1,2,1
2019,13,63,0,113000,0,52,0,2,2
2019,13,63,0,113000,1,59,0,2,2
2019,13,0,1,209310,1,55,1,4,2
2019,13,0,1,209310,0,53,1,4,3
2019,13,67,1,212820,1,71,1,1,2
2019,13,67,1,212820,0,69,1,1,3
2019,13,67,1,212820,0,40,0,1,2
2019,13,0,1,120000,1,58,1,2,2
2019,13,0,1,120000,0,60,1,2,2
2019,13,0,1,95000,0,60,1,2,2
2019,13,0,1,95000,1,53,1,2,1
2019,13,0,1,481000,0,56,1,1,2
2019,13,0,1,481000,1,59,1,1,2
2019,13,135,1,161000,0,49,1,1,2
